site_weather_collection_time,site_date,site_name,site_location,site_co_ordinate_longitude,site_co_ordinate_latitude,site_id,site_weather_id,site_main_temp,site_main_pressure,site_main_humidity,site_main_temp_min,site_main_temp_max,site_wind_speed,site_wind_deg,site_clouds_all,site_sys_id,site_sys_message,site_sys_sunrise,site_sys_sunset,site_weather_description,site_weather_main,site_weather_icon
1560920340,6/19/2019,ADNOC-AD35ALHAIL,Abu Dhabi,53,25,292968,803,33.64,997.31,60,33.64,33.64,11.51,305.65,65,,0.0053,1560908169,1560957533,broken clouds,Clouds,04d
1560923936,6/19/2019,ADNOC-AD35ALHAIL,Abu Dhabi,53,25,292968,803,33.64,997.31,60,33.64,33.64,11.51,305.65,65,,0.0066,1560908169,1560957533,broken clouds,Clouds,04d
1560776332,6/17/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,47.65,997.76,6,47.65,47.65,7.64,343.754,66,,0.0049,1560735509,1560784415,broken clouds,Clouds,04d
1560772732,6/17/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,47.65,997.76,6,47.65,47.65,7.64,343.754,66,,0.0051,1560735509,1560784415,broken clouds,Clouds,04d
1561276734,6/23/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,42.95,1001.29,16,42.95,42.95,2.37,14.938,66,,0.0063,1561253973,1561302896,broken clouds,Clouds,04d
1561280341,6/23/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,42.95,1001.29,16,42.95,42.95,2.37,14.938,66,,0.0063,1561253973,1561302896,broken clouds,Clouds,04d
1561283932,6/23/2019,ADNOC-AD31,Ab? Z?aby,53,23,292969,803,42.95,1001.29,16,42.95,42.95,2.37,14.938,66,,0.0069,1561253973,1561302896,broken clouds,Clouds,04d
1560772754,6/17/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,47.65,997.76,6,47.65,47.65,7.64,343.754,66,,0.0047,1560735450,1560784330,broken clouds,Clouds,04d
1560776355,6/17/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,47.65,997.76,6,47.65,47.65,7.64,343.754,66,,0.0049,1560735450,1560784330,broken clouds,Clouds,04d
1561276758,6/23/2019,ADNOC-AD54,Ab? Z?aby,54,23,292969,803,42.95,1001.29,16,42.95,42.95,2.37,14.938,66,,0.0061,1561253914,1561302812,broken clouds,Clouds,04d
